class_id,Index,Plant,Disease,pixel_count,image_count_with_class,pixel_ratio
72,71,Plum,plum brown rot,17167971,81,0.0016471764650739752
73,72,Plum,plum pocket disease,4270175,57,0.00040970081797943753
74,73,Plum,plum pox virus,3391462,33,0.0003253929301600471
75,74,Plum,plum rust,20227606,34,0.0019407323409382001
76,75,Potato,potato early blight,7602290,126,0.0007293997158235665
77,76,Potato,potato late blight,9397029,117,0.0009015954774397995
78,77,Raspberry,raspberry fire blight,4614160,34,0.00044270436838958623
79,78,Raspberry,raspberry gray mold,4176712,40,0.0004007335350107507
80,79,Raspberry,raspberry leaf spot,8272343,18,0.0007936877747882638
81,80,Raspberry,raspberry yellow rust,8717782,37,0.0008364253025617023
82,81,Rice,rice blast,3696287,83,0.000354639284663219
83,82,Rice,rice sheath blight,4193265,76,0.00040232170824487196
84,83,Soybean,soybean bacterial blight,35015841,91,0.0033595856609946726
85,84,Soybean,soybean brown spot,25568122,71,0.002453126744828503
86,85,Soybean,soybean downy mildew,64762835,153,0.00621365318146618
87,86,Soybean,soybean frog eye leaf spot,75664852,238,0.007259644336986911
88,87,Soybean,soybean mosaic,26320759,117,0.0025253383039663814
89,89,Squash,squash powdery mildew,107989982,182,0.010361070438327407
90,90,Strawberry,strawberry anthracnose,7054542,58,0.000676846177936571
91,91,Strawberry,strawberry leaf scorch,7936692,39,0.0007614838278175621
92,92,Tobacco,tobacco blue mold,5738957,60,0.0005506227209069462
93,93,Tobacco,tobacco brown spot,6070661,66,0.0005824479740000984
94,94,Tobacco,tobacco frogeye leaf spot,3221929,28,0.00030912713103600466
95,95,Tobacco,tobacco mosaic virus,10231692,41,0.0009816769995875268
96,96,Tomato,tomato bacterial leaf spot,15480524,109,0.001485274806196541
97,97,Tomato,tomato early blight,10342422,187,0.0009923009603326632
98,98,Tomato,tomato late blight,16907275,163,0.0016221640558767016
99,99,Tomato,tomato leaf mold,14759270,156,0.0014160742807447875
100,100,Tomato,tomato mosaic virus,4987223,63,0.0004784977998667184
101,101,Tomato,tomato septoria leaf spot,27179235,130,0.002607704558139973
102,102,Tomato,tomato yellow leaf curl virus,9557453,93,0.0009169873159531001
103,103,Wheat,wheat bacterial leaf streak (black chaff),27663825,117,0.0026541984183177537
104,104,Wheat,wheat head scab,27201007,319,0.002609793466957304
105,105,Wheat,wheat leaf rust,38897991,132,0.0037320575223396698
106,106,Wheat,wheat loose smut,12831240,215,0.0012310899491684716
107,107,Wheat,wheat powdery mildew,88854412,271,0.008525113204372643
108,108,Wheat,wheat septoria blotch,44932564,232,0.00431104304266533
109,109,Wheat,wheat stem rust,29300823,148,0.002811259761150472
110,110,Wheat,wheat stripe rust,39928312,358,0.003830911399869605
111,111,Zucchini,zucchini bacterial wilt,11646136,70,0.001117385457387525
112,112,Zucchini,zucchini downy mildew,12160220,44,0.0011667091116429457
113,113,Zucchini,zucchini powdery mildew,74944327,213,0.0071905137552485425
114,114,Zucchini,zucchini yellow mosaic virus,23808314,95,0.00228428242882582
